"","income","education","age","internal","external","PIDStrength","AffectPID","care","AffectPRES","Years","lnYears","Church","homeowners","contacted","closeness","black","southern","turnout","dummy1988","dummy1992","dummy1996","dummy2000","interest","border","earlyopp","negaboutlike","negaboutdislike","gender","governors","primaries","married","working","unemployed","hispanic","volume2","media_index"
"1",1,1,55,1,0.5,0.330000013113022,0.400000005960464,1,0.200000002980232,8,2.0794415473938,0.670000016689301,1,1,0.5,0,0,1,0,0,0,0,3,0,0.0500000007450581,0.40599998831749,0.666999995708466,0,1,1,1,1,0,0,0.0500000007450581,3
"2",0.25,0.5,79,0,1,1,0.400000005960464,1,0.5,52,3.95124363899231,1,1,0,1,0,0,1,0,0,0,0,2,0,0.0500000007450581,0.666999995708466,0.40599998831749,0,0,1,0,0,0,0,0.0500000007450581,3
"3",0.25,0.25,31,NA,NA,0.670000016689301,0,0,0,5,1.60943794250488,0,0,NA,1,1,0,NA,0,0,0,0,1,0,0.0500000007450581,NA,NA,1,0,1,0,0,1,0,0.0500000007450581,NA
"4",0.5,0,38,0,0,0,0,0,0.200000002980232,15,2.70805025100708,1,1,0,0.5,0,0,1,0,0,0,0,1,0,0.0500000007450581,0.40599998831749,0.666999995708466,1,0,0,1,0,1,0,0.0500000007450581,3
"5",0.5,1,25,0,1,0,0.400000005960464,0,0.5,23,3.13549423217773,NA,0,1,1,0,0,1,0,0,0,0,2,1,0.0500000007450581,0.666999995708466,0.40599998831749,0,0,1,1,1,0,0,0.0500000007450581,3
"6",0.5,0.5,37,0,1,0.670000016689301,0,0,0,37,3.61091780662537,1,1,0,1,0,0,1,0,0,0,0,2,0,0.0500000007450581,0.666999995708466,0.40599998831749,1,1,1,1,0,0,0,0.0500000007450581,3
"7",0.25,0.25,62,0,0.5,0.670000016689301,0.600000023841858,NA,0.5,40,3.68887948989868,1,1,0,1,0,0,1,0,0,0,0,NA,0,0.0500000007450581,0.666999995708466,0.40599998831749,1,1,1,0,1,0,0,0.0500000007450581,3
"8",0.75,0.5,49,1,1,0.670000016689301,0.400000005960464,0,0,47,3.85014748573303,1,1,0,1,0,0,1,0,0,0,0,2,0,0.0500000007450581,0.666999995708466,0.40599998831749,0,1,1,1,1,0,0,0.0500000007450581,3
"9",0.5,0.75,58,0,0.5,0,0,0,0.100000001490116,14,2.63905739784241,1,1,1,0.5,0,0,0,0,0,0,0,3,0,0.0500000007450581,NA,NA,1,1,0,1,0,0,0,0.0500000007450581,3
"10",0.5,0.75,57,0,0.5,0.670000016689301,0.100000001490116,0,0.100000001490116,57,4.04305124282837,0.330000013113022,1,0,0.5,0,1,1,0,0,0,0,1,0,0.0500000007450581,0.40599998831749,0.666999995708466,1,0,0,0,0,0,0,0.0500000007450581,3
